PALTRIN TABS|TRIMETHOPRIM 80MG, SULPHAMETHOXAZOLE 400MG|SAME AS APPLICANT|04-7616
PITROFIN TABLETS|PHENOBARBITONE 30MG|SAME AS APPLICANT|04-7520
POLYFORT SUSP|ACTIVATED METHYLPOLY SILOXANE 125MG, MAGNESIUMOH 100MG, ALUMINIUMOH GEL 4.75MG/5ML|SAME AS APPLICANT|04-7620
PRIMPEX C0 - TRIMOXAZOLE PAEDIATRIC SUSPENSION|TRIMETHOPRIM 40MG, SULPHAMETHOAZOLE 200MG/5ML|SAME AS APPLICANT|04-1810
SAFEXIN-250 CAPSULES|CEPHALEXIN 250MG|SAGA LAB PLOT NO 1409 PHASE 11 GIDC ESTATA VAUR AMEDABAD 382445 INDIA.|04-7568
SANOFEN 200 TABLETS|IBUPROFEN 200MG|ZIM LAB LTD B-21/22 MIDC AREA KALMESHWAR NAGPUR 441501 INDIA.|04-7567
SIVOPRAMIDE INJECTION|METOCLOPRAMIDE 10MG/2ML|WUHAN GRAND PHARM GROUP CO. LTD. 5, GUTIAN ROAD, WUHAN, CHINA.|04-7548
STAVUDINE & LAMIVUDINE TABLETS|STAVUDINE 40MG LAMIVUDINE 150MG|STRIDES ARCOLAB LTD. 3617, SURAGAJAKKANAHALLI, INDLAVADI CROSS, ANEKAL TALUK, BANGALOR DISTRICT 560106, INDIA.|04-7544
STERA -SOL GLUTARALDEHYDE 2%|GLUTARALDEHYDE 2%W/V|RAJRAB LTD. 72/80, COCA-COLA RD, IND. EST, ILORIN, KWARA STATE.|04-7627
THERATRIM CO-TRIMOXAZOLE TABLET|SULPHAMETHOXAZOLE 400MG, TRIMETOPRIM 80MG|SAME AS APPLICANT|04-7625
TRAMADEX INJECTION|TRAMADOL HCL 50MG|LABORATE PHARMACEUTICALS (INDIA). E-11, IND. AREA PANIPAT-132, 103|04-7561
TROSE CHLOROQUINE PHOSPHATE INJECTION|CHLOROQUINE PHOSPHATE 64.5MG/ML|NINGBO DAHONGYING PHARM. CO. LTD. 396, MINGZHU ROAD, NINGBO ZHEJIANG, CHINA.|04-7543
UNIDEX - 10|10% GLUCOSE BP|SAME AS APPLICANT|04-0343
UNIDEX - 5 INFUSION|DEXTROSE 5%|SAME AS APPLICANT|04-0341
UNIDEXAL - 18|SODIUM CHLORIDE 0.18G, GLUCOSE BP 4.3/100ML|SAME AS APPLICANT|04-0337
UNIGYL METRONIDAZOLE INJECTION|METRONIDAZOLE 500MG/100ML|SAME AS APPLICANT|04-0373
UNISAL INFUSION|NACI0.9%W/V|SAME AS APPLICANT|04-0342
VITAMIN B-CO TABLETS|VIT. B1 5MG, VIT B2 2MG, VIT. B6 2MG, NICOTINAMIDE 20MG|SAME AS APPLICANT|04-7633
ZEXATE INJECTION|METHOTREXATE 25MG|DABUR PHARMA LTD 19 IND EST AREA RADDI DIST SOLAN PRADESH INDIA.|04-7566
ANTIMAL|SULPHADOXINE 500MG/5ML PYRIMETHAMINE 25MG/5ML|SAME AS APPLICANT|04-1952
PRIMPEX CO-TRIMXAZOLE TABLETS|TRIMETHOPRIM 80MG, SULPHAMETHOXAZOLE 400MG|SAME AS APPLICANT|04-1959
CAINAN INJECTION|FORTIFIED PROCAIN BP 3.0G, BENZYL PENICILLIN 1G|SAI PARENTERALS PVT LTD D4 PHASE V, I.D.A JEEDIMETLA HYDERABAD INDIA.|04-7593
CATAFLAM DROPS|DICLOFENAC SODIUM 1.5%|NOVARTIS PHARMA S.A.S HUNINGUE FRANCE.|04-7595
CHUPATIZ TABLETS|CYPROHEPTADINE HCI 4MG|H-JULES & CO. LTD. D/82, MIDC AREA, NAGPUR, INDIA.|04-7551
CRIXIVAN CAPSULES|INDINAVIR 400MG|MERCK SHARP & SOHME B.V WAARDERWEG 39 2003 PC HAARLEM HOLLAND.|04-7591
CROMAX - 4 EYE DROPS|CROMOLYN SODIUM 40MG|ASHFORD LABORATORIES LTD. AVENIDA DO ALMIRANTE LACERDA NO. 131-133, EDIFICIO INDUSTRIAL WA LONG 12 ANDAR 'A' MACAU.|04-7550
ERYTHROMYCIN CAPLETS|ERTHROMYCIN 500MG|MEKOPHARM CHEM PHARM JOINY-STOCK 297/5 LY THUONG KIET ST DIST 11 HO CHI MINH CITY VIETNAM|04-7570
HCQS TABLETS|HYDROXYCHLOROQUINE SULPHATE 200MG|IPCA LAB LTD P.O SEJAVATA DISTICT RATIAM 457002 MADHYA PRADESH INDIA.|04-7590
HEALTHILIFE VITAMIN C CHEWABLE TABLETS|VITAMIN C 500MG|THOMPSON & COPPER LTD HARDWICK ROAD ASTMOOR PUNCORN CHESHIRE UK WA71PH|04-7670
HYCORT INJECTION|HYDROCORTISONE 100MG|SWISS PARENTERALS PVT. LTD. 809, KERALA G.I.D.C. NR BALVA DIST. AHMEDADAD - 382220, INDIA.|04-7553
KINGSLIFE CAPSULES|MULTIVITAMIN/MINERALS/GINSENG|SAVITA PHARM PVT LTD 722-9 DABHEL VILLAGE SUMMATH ROAD DAMAN INDIA.|04-7587
KONIEN INJECTION|QUININE DIHYDROCHLORIDE 600MG/2ML|MBL PHARMA B-77A H.I.T.E LASBELA BALUCHISTAN PAKISTAN|04-7577
LAVUDINE-SNP 30 TABLETS|LAMIVUDINE 150MG,
STAVUDINE 30MG, NEVIRAPINE
USP 200MG|CIPLA LTD PLOT NO L-139 VERNA GOA 403 722 INDIA.|04-7521
LIPOSTAT TABLETS|PRAVASTATIN SODIUM 10MG|BRISTOL-MEYERS SQUIBB FOREIGN TRADE ZONE 7 ROAD 114 MAYAQUEZ PUERTO RICO USA.|04-7565
LIPOSTAT TABLETS|PRAVASTATIN SODIUM 40MG|BRISTOL-MEYERS SQUIBB FOREIGN TRADE ZONE 7 ROAD 114 MAYAQUEZ PUERTO RICO USA.|04-7563
LIPOSTAT TABLETS|PRAVASTATIN SODIUM 20MG|BRISTOL-MEYERS SQUIBB FOREIGN TRADE ZONE 7 ROAD 114 MAYAQUEZ PUERTO RICO USA.|04-7564
MENOVATE GEL|BETAMETHASONE DIPROPIONATE B.P 0.05%W/W|MCHAREN BIOTECH (P) LTD NO 6 SIDCO IND EST HOSUR INDIA.|04-7585
NEMOZOLE TABLETS|ALBENDAZOLE 200MG|IPCA LAB P.O SEJAVATA DIST RATLAM MADHYA PRADESH INDIA.|04-7582
PARAGOLD TABLETS|PARACETAMOL 500MG, CHLORPHENIRAMINE MALEATE 2MG, CAFFEINE 25MG, PHENYLEPHRINE 5MG|LINCOLN PHARM LTD 10/12/13 TRIMUL ESTATE NR KHATRAJ TAL KALOL DIST GANDHINAGAR INDIA.|04-7594
SAFEXIN -500 CAPSULES|CEPHALEXIN 500MG|SAGA LABORATORIES PLOT NO 1409 PHASE 111 G.I.D.C ESTATE VATWA AHMEDABAD 382 445 INDIA.|04-7581
SIMKAD TABLETS|SIMVASTATIN 10MG|LABORATE PHARMACEUTICAL (INDIA) E-11, IND. AREA, PANIPAT - 132103|04-7545
SIVOMIDE INJECTION|FRUSEMIDE 20MG/2ML|WUHAN GRAND PHARM. GROUP CP. LTD. 5, GUTIAN ROAD, WUHAN, CHINA.|04-7546
SIVOPHENICOL CAPSULES|CHLORAMPHENICOL 250MG|YANGZHOU NO 3 PHARM CO LTD 51 GUOTAI RD YILING TOWN YIANGDU CITY JIANGSU CHINA.|04-7576
SOLIPRAX CAPSULES|OMEPRAZOLE 20MG|ATOZ PHARM LTD 12 BALAJI NAGAR AMBATTUR CHENNAI TAMIL NADU INDIA.|04-7574
TEGRETOL 2% SYRUP|CARBAMAZEPINE 2%|NOVARTIS PHARMA S.A.S HUNINGUE FRANCE.|04-7592
TEMPOVATE GEL|CLOBETASOL PROPIONATE 0.05%|PT TEMPO SCAN PACIFIC TBK JI. LET. HARYONO MT. 7 JAKARTA INDONESIA.|04-7580
VOLTAREN D 50 DISPERSIBLE TABLETS|DICLOFENAC SODIUM 50MG|NOVARTIS PHARMA SERVICES GMBH NUREMBERG GERMANY.|04-7579
VOLTAREN SUPPOSITORIRES X 10'S|DICLOFENAC SODIUM 12.5MG|NOVARTIS PHARMA S.A.S HUNINGUE FRANCE.|04-7578
ZYPREXA VELO TABLETS|OLANZAPINE 10MG|ELI - LILLY AND CO. LTD. LILLY HOUSE PRIESTLY ROAD, BASINGSTROKE HAMPSHIRE UK|04-7549
JAWA STERILIZED WATER FOR INJECTION|WATER FOR INJECTION B.P|CLARIS LIFE SCIENCES LTD VASANA SACHANA TALUKA VIRAMGAM DIST. AHMEDABAB GUJARAT 382150|04-7588
MEDIPINE RETARD TABLETS (POM)|NIFEDIPINE 20MG|CIPLA LTD MIDC PATALGANGA M.S 410 220 INDIA.|04-7584
SPIROLON 100 TABLETS (POM)|SPIRONOLACTONE 100MG|REMEDICA LTD LIMASSOL INDL ESTATE AHARNON STREET 3508 LIMASSOL CYPRUS EUROPE|04-7575
SUPIROCIN OINTMENT|MUPIROCIN 2%W/W|GLENMARK PHARM. LT PLOT E-37,39B ROAD MIDC IND. AREA SATPUR,NASHIK 422007|04-7547
MAVEFEN -400 TABLETS|IBUPROFEN 400MG|STALLION LAB PVT LTD C-1B 305/2-3,GIDC KERALA (BAVL) AHMEDABAD,GUJARAT|04-7583
ABAKTAL TABLETS|PEFLOXACIN 400MG|LEK PHARM & CHEM CO VEROVSKOVA 57 LJUBLJANA SLOVENIA.|04-1836
ACETOMID TABLETS|ACETAZOLAMIDE 250MG|HOVID BHD 121 JALAN KUALA KANGSAR 30010 IPOH MALAYSIA.|04-1934
ANAFRANIL 25 TABLETS|CLOMIPRAMIN HCL 25MG|NORVATIS FARMA S.P.A TORRE ANNUNZIATA ITALY.|04-0459
ANAFRANIL SR 75 TABLETS|CLOMIPRAMIN HCL 75MG|NORVATIS FARMA S.P.A TORRE ANNUNZIATA ITALY.|04-0618
BISALAX TABLETS|BISACODYL 5MG|NEM LABORATORIES PVT LTD 133 VASAI ROAD (E) 401 210 INDIA.|04-7607
CEMTAB TABLETS|CIMETIDINE 400MG|V.S INTL PVT LTD J-26 M.I.D.C TARAPUR TALUKA PALGHAR DIST THANE INDIA.|04-1695
CLARITHRO-500 TABLETS|CHARITHROMYCIN 500MG|ALEMBIC LTD ALEMBIC ROAD VADODARA 390 033 INDIA.|04-7606
DICLOFENAC SODIUM INJECTION|DICLOFENAC SODIUM 75MG/3ML|NINGBO DAHONYING PHARM CO LTD 396 MINGZHU RD NINGBO CHINA.|04-7597
FANSIDAR INJECTON|SULPHADOXINE 500MG, PYRIMETHAMINE 25MG|ROCHE 52 RUE MARCEL ET JACQUES GAUCHER 94120 FONTANAY SOUS  BIOS FRANCE.|04-0153
GLUCOVANCE TABLETS|METFORMIN HCL 500MG, GLIBENCLAMIDE 2.5MG|MERCK SANTE S.A.S SEMOY LE PRESSOIR VERT 45402 SEMOY FRANCE.|04-7609
GVFLUC ORAL SUSPENSION X 35ML|FLUCONAZOLE 50MG/5ML|GVS LABS 2 SWAMIGEHA DOMBIVLI 421 200 INDIA.|04-7598
H-CORT INJECTION|HYDROCORTISONE SODIUM 100MG|ALHA LABORATORIES LTD 33/2 A.B ROAD PIGDAMBER INDORE M.P INDIA.|04-7599
HS 12 SYRUP|HEAMOGLOBIN 0.5G, VITAMIN B12 20MCG|PINEWOOD LAB LTD BALLYMACARBRY CLOMEL CO TIPPERARY IRELAND.|04-7608
IBURAZ TABLETS|IBUPROFEN 40MG|SWISS PHARMA PVT LTD 3709 G.I.D.C PHASE IV VATVA AHMEDABAD INDIA.|04-7600
LIFLIN CAPSULES|TETRACYCLINE 250MG|SHANGHAI MEDICINAL CORP. NO 9, YANAN ROAD, SHANGHAI, CHINA.|04-1685
MEDICOLD CAPLETS|PARACETAMOL 500MG, CAFFEINE 30MG, CHLORPHENIRAMINE MALEATE 2MG, PSEUDOEPHEDRINE 30MG|ZIM LABORATORIES LTD B 21/22 M.I.D.C AREA KALMESHWAR NAGPUR INDIA.|04-7601
METRIS IV INFUSION|METRONIDAZOLE SP 0.5%|CLARIS LIFE SCIENCES LTD CHACHARWADI VASANA AHMEDABAD GUJARAT INDIA.|04-7602
PAULIO GENTAMYCIN INJECTION|GENTAMYCIN 280MG/2ML|JIANGSU BU YIXING ECONOMIC DEV ZONE JIANGSU PROVINCE CHINA.|04-7603
PAULIO GENTAMYCIN INJECTION|GENTAMYCIN 80MG/2ML|JIANGSU BU YIXING ECONOMIC DEV ZONE JIANGSU PROVINCE CHINA.|04-7604
PROMITE CAPSULES|MULTIVITAMINS/MINERALS|GELNOVA LAB PVT LTD C-125 TTC IND AREA MAHAPE NAVI MUMBAI INDIA.|04-7605
SMS IRON DEXTRAN INJECTION|IRON DEXTRAN 250MG/5ML|ZIM LABORATORIES LTD B 21/22 MIDC AREA KALMESWAR NAGPUR INDIA.|04-7596
VOLTINAC GEL (POM)|DICLOFENAC DIETHYLAMMONIUM 1.16%W/W|PARNAX LAB LTD 74/121 MASAT IND EST SILVASSA 396 230 INDIA.|04-7589
LINCOCIN CAPSULES (RENEWAL)|LINCOMYCIN 500MG|PFIZER MANUFACTURING BELGIUM NV RIJKSWEG 12 2870 PUURS BELGIUM.|04-1390
TENORMIN TABLETS|ATENOLOL B.P 100MG|ASTRA ZENECA UK LTD MACCLESFIELD CHESHIRE SK 10 2NA UNITED KINGDOM.|04-0366
