NEOSPORIN EYE DROPS|POLYMYXIN B SULPHATE, GRAMOCILLIN|WELLCOME FOUNDATION LTD. LONDON|04-1161
ASCORBION C 300 SYR|ASCORBIC ACID 300MG/5ML|MOPSON PHARM IND. 47, OSOLO WAY AJAO ESTATE OSHODI, LAGOS|04-1000
MYCOTEN VAGINAL TABS|CLOTRIMAZOLE 100MG|DRUGFIELD PHARMACEUTICAL LTD.,  48, AKEJU STREET,SHOMOLU, LAGOS|04-0999
CAFERGOT TABS.|ERGOTAMINE TARTRATE 1MG CAFFEINE 100MG|SANDOZ PHARMACEUTICALS LTD.,BASLE,SWITZERLAND|04-0461
FORADIL INHALER AEROSOL|FORMOTEROLN FUMARATE 12MG|CIBA GEIGY LTD.,   BASLE SWITZERLAND|04-1014
LESCOL CAPSULE|FLUVASTIN|LABORATORES SANDOZ S.A. AVENUE DU CHAMP DE MARS F-45100 ORLEANS 02|04-1111
DEEP HEAT  AEROSOL|METHYLSALICYLATE 1% ETHYLSALICYLATE 5% METHYLNICOTINATE 1.6% 2-HYDROXYETHYL SALICYLATE 5%|THE MENTHOLATUM COMPANY LIMITED LONGFIELD ROAD,TWYFORD READING BERKSHIRE RG 109LL|04-0227
DEEP HEAT OINTMENT|MENTHOL 5.91% EUCALYPTUS OIL 1.975|THE MENTHOLATUM COMPANY LIMITED LONGFIELD ROAD,TWYFORD READING BERKSHIRE RG 109LL|04-0334
MENTHOLATUM ANTISEPTIC LOZENGES|AMYLMETACRESOL 0.013% MENTHOL 0.4% EUCALYPTUS OIL 0.3%|MENTHOLATUM NIGERIA LTD.,   PLOT 50,SHARADA INDUSTRIAL ESTATE KANO, NIGERIA|04-0227
SANDOMIGRAN TABS.|PIZOTIFEN 500MG|SANDOZ PHARMACEUTICALS LTD.,BASLE,SWITZERLAND|04-0192
ACTIFED TABLET|TRIPOLIDINE HYDROCHLORIDE 2.25MG, PSEUDOEPHEDRINEHCL 60MG|SAME AS APPLICANT|04-1077
BOUNTY BEARS PLUS EXTRA C TABLET|MULTIVITAMINS|NATURES BOUNTY INC. ORIVILLE DRIVE BOHEMA, NEW YORK|04-1185
EMGYL TABS|METRONIDAZOLE 200MG|EMZOR PHARM. IND.  PLOT 3C, BLOCK A ,ASWANI MARKET ROAD, ISOLO, LAGOS|04-0412
CALCITAB TABLETS|VIT.D 300MG, CALCIUM CARBONATE 300MG, DICALCIUM PHOSPHATE 250MG|VITABIOTICS LTD., 35, MOLAJI JOHNSON AVE., OREGUN, IKEJA|04-1332
KEPRO OXYTET 5% INJECTION|OXYTETRACYCLINE HCL 5%|KEPRO B.V HONT BEEKWEG STROE HOLLAND|04-1353
EMCILLIN SUSP.|AMPICILLIN 125MG/5ML|EMZOR PHARM. IND.  PLOT 3C, BLOCK A ,ASWANI MARKET ROAD, ISOLO, LAGOS|04-0296
APRESOLINE INJ.|HYDARALAZINE 20MG|CIBA-GEIGY LTD.,BASLE ,SWITZERLAND|04-0029
PARACETAMOL TABS.|PARACETAMOL 500MG|JUHEL NIG. LTD,   4, ISU- OBA CLOSE, TRANS EKULU, ENUGU,LAGOS|04-0168
MATHEW PLUS TONIC|FERRIC AMMONIUM CITRATE 400MG/5ML|SAME AS APPPLICANT|04-1303
VENTOLIN TABS|SALBUTAMOL 2MG|GLAXO OPERATIONS UK LIMITED, GREENFIRD MIDDLESEX, ENGLAND|04-0432
PARLODEL|BROMOCRPTINE 2.5MG|NOVARTIS FARMA S.P.S. TORRE ANNUNZIATA, ITALY|04-0198
KENYLIX BABY COUGH SYRUP|DIPHENHYDRAMINE 7MG, MENTHOL SODIUM CITRATE 28.5MG|SAME AS APPLICANT|04-1084
MULTIVITAMIN SYRUP|VIT A 1000UNITS, VIT D 200UNITS, VIT. B1 1.5MG ,VIT B2 1.5MG, NICOTINAMIDE 10MG ,VIT B12 2.5MG|SAME AS APPLICANT|04-1319
MOBIL INSECTICIDE|TETRAMETHRIN 0.2%, PHENOTHRIN 0.12% ALLETHRIN 0.25%|MOBIL OIL NIGERIA PLC.,   MALU ROAD, APAPA, LAGOS|04-0617
ZINACEF INJ|CEFUROXIME SODIUM 750MG|GLAXO OPERATIONS UK LTD., GREENFORD ROAD,GREENFORD,MIDDLE SEX, ENGLAND|04-0434
AFRAMPII SUSPENSION|AMPICILLIN 125MG /5ML|AFRAB CHEM LTD  22, ABIMBOLA STREET ISOLO, LAGOS|04-0211
ANDREWS LIVERS SALT GRANULE|MAGNESIUM SULPHATE 883MG E|STERLING PRODUCT NIGERIA PLC 51, TOWN PLANNING WAY,ILUPEJU, LAGOS|04-0207
COTRIMOXAZOLE TABS.|TRIMETHOPRIM 80MG SULPHAMETHOXAZOLE 400MG|VITABIOTICS NIGERIA LTD., 28, ODUYEMI STREET, IKEJA, LAGOS|04-0061
SUPER ATLAS MULTIVITAMIN SYR|MULTIVITAMINS|EVANS MEDICAL PLC AGBARA IND. ESTATE, OGUN STATE|04-0246
RAMBO AEROSOL|D ALLETHRIN 0.2%, PERMETHRINE 0.2%, PIPERONYLBUTOXIDE|SAME AS APPLICANT|04-1078
CLOMIPHENE TABS|CLOMIPHENE CITRATE|MCA MED CHAM. AGENCY LISCATE , ITALY|04-0148
AMAXIN SUSPENSION|AMOXYCILLIN 125MG|DANA PHARM PVT AMBERNATH INDIA|04-1196
FORTUM INJ.|CEFTAZIDIME 500MG, 1G|KAMATAKA ANTIBIOTICS PHARM LTD 80 FEET ROAD ,1ST BLOCK ,RAJAJI NAJAR,BANGALORE 560010,INDIA|04-0395
VADIMOL SYRUP|PARACETAMOL 125MG/5ML|VADIS LTD ., 12 FEDERAL AVENUE,TRANS EKULU. ENUGU STATE|04-0920
VADIS VIT C SYRUP|ASCORBIC ACID 40MG/5ML|VADIS PHARMACY 12, FEDERAL  AVENUE ENUGU, ENUGU STATE|04-0823
CHLORAMPHENICOL SUSP.|CHLORAMPHENICOL 125MG/5ML|DOYIN PHARM NIG. LTD., PLOT 5, LSDPC SCHEME KM 2, BADAGRY EXPRESSWAY AMUWO ODOFIN, LAGOS|04-1036
PHARDOL SYRUP|PARACETAMOL 125MG/5ML|PHARMA-DEKO PLC,PLOT C15/3 AGBARA IND.ESTATE AGBARA OGUN STATE|04-0953
SULPHATRIAD TABS|SULPHATHIAZOLE 185MG SULPHADIAZINE 185MG SULPHAMERAZNIE 130MG|MAY & BAKER NIG. PLC., 3/5, SAPARA ST. IND.ESTATE, IKEJA, LAGOS|04-0322
FANSIMEF TABLET|MEFLOQUINE 250MG.SULPHADOXINE 500MG. PYRIMETHAMINE 25MG|F. HOFFMAN LA ROCHE,CH 4002,BASLE ,SWITZERLAND|04-0007
LEADAMOL TABLETS|PARACETAMOL 500MG|LEADY PHARMACEUTICAL LTD.3/4 TOMORI  IND. ESTATE,IDIROKO ROAD ,OTTA ,OGUN STATE|04-0298
AMALAR TABLETS|SULPHADOXINE 500MG PYRIMETHAMINE 35MG|BROWN & BURK PHARMACEUTICAL LTD., 93 SIPCOT, HORSUR- 635126|04-0966
TEGRETOL CR  200 TABLETS.|CARBAMAZEPINE 200MG|NORVATIS FARMA S.P.A. VIA PRONVINCIALE SCHITO 131-80058, TORRE, ANNUNZIATA, ITALY.|04-0037
AUGMENTIN SUSPENSION|AMOXYCILLIN 125MG /5ML POTTASSIUM CLAVULANATE 62MG/5ML|SMITHKLINE BEECHAM PHARMA . BRENTFORD, ENGLAND|04-0183
BRUSTAN-N TABS.|IBUPROFEN 400MG|RANBAXY LABS LTD.INDIA|04-0694
VISINE EYE DROP|TETRAHYDROZOLINE 0.05%|PFIZER PRODUCT PLC.,, 1, HENRY CARR, STREET IKEJA LAGOS|04-0099
LINCOCIN CAPSULES|LINCOMYCIN HCL 500MG|UPJOHN S.A PURRS|04-1390
HAEMACEL INFUSION|POLYGELINE 35G|BEHRINGWERKE AG HARMBURG|04-1159
AMAXIN CAPSULES|AMOXYCILLIN 250MG|DANA PHARM PVT AMBERNATH INDIA|04-1195
DANACILLIN CAPSULE|AMPICILLIN 250MG|DANA PHARM PVT LTD., 1ST FLOOR, PLOT NO.34 MIDC MORVALI, AMBERNATH|04-1113
PROPON TABLET|ASPIRIN B.P. 500MG|SAME AS APPLICANT|04-1204
PROSTIGMIN|NEOSTIGMIN 0.5MG.|F.HOFFMAN LA ROCHE,BASLE ,SWITZERLAND|04-0164
VOLTAREN RETARD 100 TABS.|DICLOFENAC POTASSIUM 100MG.|GIBA GEIGY LTD ., BASLE , SWITZERLAND|04-0033
JAWAMOX DRY SYRUP|AMOXYCILLIN 125MG/5ML|SAME AS APPLICANT|04-1139
CHLORPHENIRAMINE MALEATE TABS|CHLORPHENIRAMINE MALEATE 4MG|VITABIOTICS NIG LTD 28,ODUYEMI ST.,  IKEJA,LAGOS|04-0071
FERRODAN CAPSULE|FERROUS FUMARATE 300MG|DANA PTCALS LTD. 1ST FLOOR PLOT NO. 34, MIDC, MORIVALI AMBERNATH|04-1116
LANOXIN PG ELIXIR|DIGOXIN 0.05MG/ML|THE WELLCOME FOUNDATIONS LTD. LANGLEY COURT BECKEHHAM KENT BR3 3BS|04-1355
ZESTRIL TABS.|LISINOPRIL 20MG|ZENECA PHARMACEUTICAL INTERNATIONAL ,ALDERLY PARK.MANCHESFIELD|04-0010
DOLYN EXPECTORANT SYRUP|DIPHENHYDRAMINE HCL 12.5MG/5ML, AMMONIUM CHLORIDE100MG/5ML, SODIUM CITRATE 50MG, MENTHOL 1MG|SAME AS APPLICANT|04-1301
HISTALIN BABY COUGH SYRUP|DIPHENHYDRAMINE HCL 7MG,SODIUM CITRATE 28.5MG|SAME AS APPLICANT|04-1219
RAID ALL PURPOSE INSECT KILLER AEROSOL|PYRETHRUM 0.5%, TETRAMETHRIN 0.0435%, PERMETHRIN 0.22%|SAME AS APPLICANT|04-1278
OMEGA H3 CAPS|MULTIVITAMINS MINERAL , IRON|VITABIOTICS LTD, WEMBLEY|04-0465
BENYLIN WITH CODEINE SYRUP|DIPHENHYDRAMINE 13.5MG, CODEINE PHOSPHATE 10.95MG,SODIUM CITRATE 54.4MG|NIGERIAN GERMAN CHEMICALS PLC, KM 38, ABEOKUTA EXPRESSWAY, SANGO-OTTA, OGUN STATE.|04-1295
ZUBES CHILDREN COUGH SYRUP|IPECACUANHA LIQUID EXTRACT, SQUILL VINEGAR BPC|SAME AS APPLICANT|04-1257
RAMBO COIL|D.ALLETHRIN 0.23%|SAME AS APPLICANT|04-1276
VICKS LEMON PLUS|VIT C 100MG, LEMON OIL 0.27%, MENTHOL 10.9% W/W|SAME AS APPLICANT|04-1085
ANUPCOVITALYTE POWDER|VITAMINS, ELECTROLYTES,AMINO ACIDS|ANGLIAN NUTRITION PRODUCT COMPANY, ENGLAND|04-1229
DR MEYER'S PHENERIL SYR|PROMETHAZINE HCL 5MG/5ML|VITABIOTICS NIG LTD 28,ODUYEMI ST.,  IKEJA,LAGOS|04-0065
PIRITON SYRUP|CHLORPHENIRAMINE MALEATE 2MG/5ML|GLAXO NIG PLC.,41 CREEK ROAD APAPA, LAGOS|04-0437
PIRITON TABLET|CHLORPHENIRAMINE MALEATE 4MG|GLAXO NIG PLC., 41 CREEK ROAD APAPA, LAGOS|04-0252
ROBERTS ANTISEPTIC LIQUID|CHLOROXYLENOL 5%|P.Z. IND. PLC.,  33,TOWN PLANNING WAY, ILUPEJU, LAGOS|04-0082
ROBERTS SKIN HEALTH SOAP(EXTRA) TABLET|TRICLOSAN 0.5%, TRICHOROCARBANILIDE 0.3%|SAME AS APPLICANT|04-1223
NIVAQUINE SYR.|CHLOROQUINE SULPHATE  200MG|MAY & BAKER NIGERIA PLC. 3/5  SAPARA STREET ,IND. ESTATE IKEJA ,LAGOS|04-0444
VITALITE SYR|VIT A 1000 IU HCL 1.5MG. RIBOFLAVIN PHOSPHATE 1.5MG.NICOTINAMIDE 10MG CYANOCOBALAMINE2.5MG ASCORBIC ACID 20MG VIT D3 200 IU|LEADY PHARMA IND. LTD.,3/4 TOMORI IND. ESTATE, IDIROKO ROAD , OTTA OGUN STATE|04-0296
TRODAX 34% INJECTION|NITROXYNIL 34% EGLUMINE 24.5%|RHONE MERIEUX, 17, BOURGELAT 69027, LYON FRANCE.|04-1381
NITRAZEPAM|NITRAZEPAM 5MG|VITABIOTICS NIGERIA LTD.,28,ODUYEMI STREET,IKEJA, LAGOS|04-0060
METROZOL TABS|METRONIDAZOLE 200MG|VITABIOTICS NIGERIA LTD., 28, ODUYEMI STREET, IKEJA, LAGOS|04-0072
ZADITEN  SRO TABS|KETOTIFEN 2MG|SANDOZ PHARM LTD.,  CH-4002 BASLE SWITZERLAND|04-0814
ZADITEN SYRUP|KETOTIFEN 1MG/5ML|NOVARTIS PHARMA SAS, HUNINGGUE, FRANCE|04-0193
ANUSOL SUPP|BISMUTH OXIDE 24MG, BALSAM PERU 49MG , ZINC OXIDDE 296MG BISMUTH SUBGALLATE 59MG|PARK - DAVIES & CO PONTYPOOL CRESCENT, ENGLAND|04-1024
RAYGLO S & V TABS|BISACODLY 5MG|COPAL PHARM LABS,BLACK BUMLAM BB DX, ENGLAND|04-0109
KETAMINE HYDROCHLORIDE INJ|KETAMINE HCL. 500MG/100ML|HELM PHARMACEUTICAL GMBH,NORDAKANASTRABE 28-D2 000,HAMBURG|04-0129
ENGERIX B INJECTION|HEPATITIS SURFACE ANTIGEN|SMITHKLIME BEECHAM BIOLOGICALS, RIXENSANT|04-1109
DANACLOX DRY SYRUP.|AMPICILLIN 125MG/5ML , CLOXACILLIN 125MG/5ML|DANA PHARM PVT LTD., 1ST FLOOR, PLOT NO.34 MIDC MORVALI, AMBERNATH|04-1120
PARACETAMOL TABS.|PARACETAMOL 500MG|NICHBEN PHARM IND. LTD., ONITSHA -OWERRI ROAD ,AWO-OMAMMA, IMO STATE|04-0833
RINGERS LACTATE INFUSION|CALCIUM CHLORIDE 0.027 W/V, POTASSIUM CHLORIDE 0.047%, SODIUM CHLORIDE 0.6%, SODIUM LACTATE 0.3%|DANA PHARMACEUTICALS LTD.SHINRORO DAM ROAD, MATUMBI, MINNA|04-1119
RAYGLO BKB TABS.|IBUPROFEN 200MG|CUPAL LTD .,PHARMACEUTICAL LABORATORY BLACKBURN LANCE BB 22DX,ENGLAND.|04-0110
ARTENAM INJ.|B ARTEMETHER 100MG/1ML|PC PHARMACEUTICAL LTD.,ASHG ROAD ,NORTH WEXHAM IND. ESTATE WREXHAM CLWYD , ENGLAND|04-0607
QUADRIDERM CREAM|BETAMETHASONE VALERATE 0.5MG GENTAMYCIN 1MG IODOCHLOROHYDOXYQUIN 10MG TOLNAFTATE1MG|SCHERING PLOUGH SA MADRID, SPAIN|04-0864
COFMIX SYRUP|DIPHENHYDRAMINE, MENTHOL SODIUM CITRATE.|SAME AS APPLICANT|04-1124
A.M/P.M MEDICATED SOAP  X 80G|TRICHLOROCARBANILIDE 0.50%, P-CHLOROMETAXYLENOL 0.20%|UNITED MANUFACTURER EUROPE LTD,RAMADO HOUSE,361,KENTON ROAD, HARROW,ENGLAND|04-3773
ABBETYLIN WSP 100G|TYLOSIN TARTRATE 1,000MG|GALLOWSGREEN DALTON LANE, DALTON, THIRSK, Y07,3HR,UK|04-4146
ABBEYCOL FORTE WSP (100G)|COLISTIN SULPHATE 4,800,000IU|GALLOWSGREEN DALTON LANE, DALTON, THIRSK, Y07,3HR,UK|04-4258
ABBEYFLOX 200WSP (100G)|NORFLOXACIN HCL 200MG|GALLOWSGREEN DALTON LANE, DALTON, THIRSK, YO7,3HR,UK|04-4257
ABBEYSTAT WSP 100MG|AMPROLIUM HCL 200MG|GALLOWSGREEN DALTON LANE, DALTON, THIRSK, Y07,3HR,UK|04-4145
ABBEYVERM 200 WSP (100G)|LEVAMISOLE|GALLO GREEN DALTON LANE,DALTON,THIRST,Y07,3HR UK|04-4751
ABBEYVET MULTIVITAMIN FORTE WSP 100G|MULTIVITAMINS|GALLOWSGREEN DALTON LANE, DALTON, THIRSK, Y07,3HR,UK|04-4147
ABZ    X 10ML|ALBENDAZOLE 200MG|INDOCO REMEDIES LTD. MAHAKALI ROAD MUMBAI INDIA|04-4032
ACEPRIL X 30'S|LISINOPRIL 10MG|DUOPHARM (M) SDN BHD LOT 2599 JALAN SERULING 59 KAW 3 SELANGOR, MALAYSIA|04-4644
ACERIDEX 25  X 90'S|CAPTOPRIL 25MG|DEXCEL LTD, SOUTHERN INDUSTRIAL ZONE,ORAKVIA,30600, ISRAEL|04-4496
ACILOX    X 100ML|AMPICILLIN TRIHYDRATE 125MG, CLOXACILLIN SODIUM 125MG/5ML|MOPSON PHARM LTD, 47, OSOLOWAY, AJAO ESTATE, OSHODI, LAGOS|04-3599
ACNE AWAY  20G|AZARDIRACHTA INDICA (NEEM LEAF) OSCIMUM SACTUM (TULSI) MENTHA ARVENSIS (PUDINA LEAF) GEL BASE|ELDER HEALTH CARE LTD A-38/3 MIDC INDUSTRIAL AREA,PATALGANGA, VILLAGE-KHA TALUKA-KHALAPUR INDIA|04-4762L
ACRON X 10GM|ACYCLOVIR 50MG|KOREA PHARMA CO LTD; 907-8 SANG SIN RI; HYANG NAM-MYUNTTWA; SUNG-SI; KYENG KI-DO; KOREA|04-3723
ACTFAST WORM  X 30ML|PIPERAZINE 750MG/5ML|SAME AS APPLICANT|04-4229
ACTIFIED X 96'S|TRIPOLIDINE HCL 2.5MG, PSEUDOEPHEDRINE 60MG|GLAXO WELLCOME EL-SALEM STREET 11491 CAIRO EGYPT|
AGARY FORTIFIED PROCAINE PENICILLIN 4MEGA X10'S|PROCAINE PENICILLIN 3MEGA I.U; PENICILLIN SODIUM 1MEGA I.U|SHIJIAZHUANG PHARM. GROUP OF CO. LTD.HEYAO BRANCH FACTORY 47,FENGSHOU ROAD,SHIJIAZHUANG, HEBEL, CHINA|04-3883
AGARY GENTAMICIN X 100'S|GENTAMYCIN 80MG/2ML|SISHUI XIERKANG PHARM CO.LTD.NORTH SIHE ROAD, SISHUI, CHINA|04-4446
AGORANGE EVERYDAY TONIC X 200ML|FOLIC ACID 0.5MG, FERROUS GLUCONATE 147MG, CALCIUM LACTATE 150MG|AGOG PHARM LTD;PLOT NO.35 SECTOR 11, THE VASSAI TALUKA IND. CO-OP ESTATE, GUARAIPADA (E) DIST. THAMEINDIA|04-3634
AGROXONE (1L)|PARAQUAT 200G/L|CHEMICAL AND ALLIED PRODUCTS PLC. OLUYOLE IND ESTATE, TOWN PLANNING, OFF RING RD. IBADAN|04-4427
AKADRONE  X 100'S|DEXAMETHASONE SODIUM PHOPHATE 4MG/ML|NINGBO NO.2 PHARMACEUTICALS FACTORY 64 YONGGUI ROAD, NINGBO CHINA|04-4326
AKARIN  X 100'S|DIPYRONE 2.5G/5ML|NINGBO SECOND PHARMACEUTICALS FACTORY,64,YONGGUI ROAD,NINGBO,CHINA|04-4400
AKRI-CAPTOPRIL 50  X 40'S|CAPTOPRIL USP 50MG|CHEMICAL PHARMACEUTICAL PLANT ;142450 RUSSIA MOSCOW REGION,STARAYA KUPAVNA KOROVA STR 29, RUSSIA|04-3561
AKRI-ENALAPRIL 5 X 20'S|ENALAPRIL USP 5MG|CHEMICAL PHARMACEUTICAL PLANT "AKRIKHIN" 142450 MOSCOW REGION STRARAYA KUPAVNA KIROVA STR. 29 RUSSIA|04-3531
AKRI-LOPERAMIDE X 20|LOPERAMIDE 2MG|CHEMICAL PHARMACEUTICAL PLANT "AKRIKHIN" 142450 MOSCOW REGION STRARAYA KUPAVNA KIROVA STR. 29 RUSSIA|04-3532
ALABUKUN     POWDER  X100'S|ACETYLSALICYLIC ACID  760MG, CAFFEINE  60MG/SACHET|COPAC  NIG. LTD. PLOT K6, APAPA-OSHODI  EXP. WAY,  LAGOS|04-0489
ALACILLIN -250  X 100'S|AMPICIILIN 250MG|ZIM LABORATORIES LTD. F-21/22 MIDC AREA, KALMESHWAR -441 501, DIST NAGPUR, INDIA|04-4791
ALACILLIN -500 X100'S|AMPICILLIN 500MG|ZIM LABORATORIES LTD F-21/22 MIDC AREA, KALMESHWAR-441501, DIST.NAGPUR  441501 INDIA|04-4802
ALACLOX -500  X 100'S|AMPICIILIN 250MG, CLOXACILLIN 250MG|ZIM LABORATORIES LTD. F-21/22 MIDC AREA, KALMESHWAR -441 501, DIST NAGPUR, INDIA|04-4792
ALAMOX -500  X 100'S|AMOXYCILLIN 500MG|ZIM LABORATORIES LTD F-21/22 MIDC AREA, KALMESHWAR-441501, DIST.NAGPUR  441501 INDIA|04-4779
ALAMYCIN EGG CHICK 125G|OXYTETRACYCLINE HCL 5%W/W, MULTIVITAMINS|NORBROOK LABORATORIES LTD., STATION WORKS NEWRY, NORTHERN IRELAND. BT35 6JP.|04-4111
ALAMYCIN L.A 100ML|OXYTETRACYCLINE DIHYDRATE 200MG/ML.|NORBROOK LABORATORIES LTD., STATION WORKS NEWRY, NORTHERN IRELAND. BT35 6JP.|04-3828
ALCOFF ADULT COUGH  X 100ML|AMMONIUM CHLORIDE 57MG, SODIUM CITRATE 130MG|SAME AS APPLICANT|04-4548
ALCOFF CHILDREN COUGH  X 100ML|DIPHEN. HCL 7MG, SODIUM CITRATE 28.5MG|SAME AS APPLICANT|04-4544
ALDACTONE X 10'S|SPIRONOLACTONE 100MG|SEARLE HIGH WYCOMBE, ENGLAND|04-3800
ALDIPETE-TR DIPHTERIA,TETANUS TOXOIDS AND PERTUSIS (DPT) 5ML/VIAL IM|COMBINED IMMUNOLOGICAL PRODUCT AND CONTAINS THREE ACTIVE COMPONENTS: PURIFIED DIPHTHERIA,TETANUS TOXOIDS AND KILLED BACILLI. BODETELLAE PERTUSIS ADSORBED ON MINERAL CARRIER (ALUMINIUM PHOSPHATE)|INSTITUTE OF IMMUNOLOGY AND VIROLOGY TORLAK 11152 BELGRADE V. STEPE 458, SERBIA & MONTENEGRO (YUGOSLAVIA)|04-4607
ALKAPIN X 50'S (VIAL)|PROCAINE PENICILLIN 3MU, BENZYLPENICILLIN SODIUM 1MU|NINGBO SECOND PHARM FACTORY; 64 YONGGUI RD, NINGBO CHINA|04-3721
ALLERTON  X 60ML|CHLORPHENIRAMINE MALEATE 2MG/5ML|SAME AS APPLICANT|04-4243
ALMAC  X 100'S|MAGNESIUM TRISILICATE 250MG, ALUMINIUM HYDROXIDE 125MG|HOVID SDN BHD,30010 IPOH, MALAYSIA|04-4395
ALMICIDE 250(50 BOLI)|ALBEDANZOLE 250MG|ALPHA DRUGS AND PHARMACEUTICALS,176,SECTOR 3,HSDC INDUSTRIAL ESTATE KARNAL 132001(HARYANA) INDIA|04-4878
ALOE VERA GEL & JUICE 30'S|ORGANIC ALOE VERA JUICE,ALOE VERA FILLET,ALOE POLYSACCHARIDE EXTRACT|NATURE'S WAY PRODUCTS INC.10,MOUNTAIN SPRINGS PARKWAY,SPRING VILLE,UTAH 84663 (USA)|04-4891L
